Groupe 12967 red
Point 0.162847 0.115138 red
Point 0.189277 0.08371 red
Point 0.218604 0.054358 red
Point 0.250373 0.02753 red
Point 0.284058 0.00364 red
Point 0.319071 -0.01695 red
Point 0.354781 -0.03395 red
Point 0.390535 -0.04716 red
Point 0.425685 -0.05649 red
Point 0.459634 -0.06196 red
Point 0.491897 -0.06372 red
Point 0.522389 -0.062 red
Point 0.553354 -0.0569 red
Point 0.585266 -0.04833 red
Point 0.617772 -0.03621 red
Point 0.650384 -0.02057 red
Point 0.682541 -0.00154 red
Point 0.713651 0.020639 red
Point 0.743128 0.045643 red
Point 0.770423 0.073049 red
Point 0.795042 0.102372 red
Point 0.816568 0.133074 red
Point 0.83468 0.164591 red
Point 0.849169 0.196364 red
Point 0.859985 0.227969 red
Point 0.868075 0.261724 red
Point 0.873846 0.299324 red
Point 0.877147 0.341153 red
Point 0.877807 0.3873 red
Point 0.875718 0.437639 red
Point 0.870868 0.491913 red
Point 0.86335 0.5498 red
Point 0.853344 0.610957 red
Point 0.841105 0.67505 red
Point 0.826942 0.741771 red
Point 0.811207 0.810845 red
Point 0.794286 0.882035 red
Point 0.776586 0.955143 red
Point 0.758539 1.03001 red
Point 0.740596 1.10653 red
Point 0.723231 1.18463 red
Point 0.706949 1.26428 red
Point 0.69229 1.3455 red
Point 0.679849 1.42837 red
Point 0.67029 1.51297 red
Point 0.664374 1.59942 red
Point 0.662977 1.68784 red
Point 0.667116 1.77825 red
Point 0.677946 1.87053 red
Point 0.69672 1.9643 red
Point 0.724692 2.0588 red
Point 0.76207 2.15128 red
Point 0.807438 2.23871 red
Point 0.860004 2.32083 red
Point 0.919121 2.39747 red
Point 0.984265 2.46845 red
Point 1.05503 2.53357 red
Point 1.13111 2.59258 red
Point 1.21226 2.64514 red
Point 1.29831 2.69078 red
Point 1.38908 2.72894 red
Point 1.48438 2.75884 red
Point 1.58391 2.7796 red
Point 1.68716 2.79013 red
Point 1.79209 2.78945 red
Point 1.89469 2.77789 red
Point 1.99409 2.75645 red
Point 2.08983 2.72604 red
Point 2.18159 2.68743 red
Point 2.26915 2.64121 red
Point 2.35229 2.58786 red
Point 2.43078 2.52767 red
Point 2.50432 2.46087 red
Point 2.57252 2.38758 red
Point 2.63487 2.30784 red
Point 2.69075 2.22168 red
Point 2.73933 2.12913 red
Point 2.77936 2.03125 red
Point 2.80955 1.9326 red
Point 2.83085 1.83474 red
Point 2.84453 1.73842 red
Point 2.85184 1.64405 red
Point 2.8539 1.5518 red
Point 2.85173 1.46167 red
Point 2.84617 1.37363 red
Point 2.83798 1.28765 red
Point 2.82781 1.20369 red
Point 2.81626 1.12178 red
Point 2.80387 1.04198 red
Point 2.79112 0.964413 red
Point 2.77849 0.889241 red
Point 2.76644 0.816688 red
Point 2.75538 0.747026 red
Point 2.74575 0.680585 red
Point 2.73788 0.617753 red
Point 2.73208 0.558981 red
Point 2.72857 0.504771 red
Point 2.72746 0.455665 red
Point 2.7287 0.412214 red
Point 2.7321 0.374919 red
Point 2.73724 0.34414 red
Point 2.74356 0.319971 red
Point 2.7504 0.302082 red
Point 2.75726 0.289365 red
Point 2.76554 0.276983 red
Point 2.77593 0.263757 red
Point 2.78838 0.250229 red
Point 2.80268 0.236999 red
Point 2.81842 0.22466 red
Point 2.83506 0.213748 red
Point 2.85193 0.204702 red
Point 2.86829 0.197829 red
Point 2.88331 0.193271 red
Point 2.8962 0.190974 red
Point 2.90623 0.190666 red
Point 2.91285 0.191854 red
Point 2.91589 0.193872 red
Point 2.91925 0.196291 red
Point 2.92536 0.199529 red
Point 2.93403 0.204076 red
Point 2.94478 0.210256 red
Point 2.95696 0.218198 red
Point 2.9699 0.22783 red
Point 2.98289 0.238907 red
Point 2.99531 0.251032 red
Point 3.00665 0.263694 red
Point 3.01652 0.276304 red
Point 3.02469 0.28824 red
Point 3.03113 0.298909 red
Point 3.03601 0.307829 red
Point 3.04074 0.318001 red
Point 3.04625 0.333902 red
Point 3.05185 0.356468 red
Point 3.05676 0.386035 red
Point 3.06034 0.422496 red
Point 3.06211 0.465462 red
Point 3.06182 0.514402 red
Point 3.0594 0.568732 red
Point 3.05492 0.627877 red
Point 3.04857 0.691299 red
Point 3.04061 0.758517 red
Point 3.03138 0.829107 red
Point 3.02126 0.902711 red
Point 3.01066 0.979074 red
Point 3.00003 1.05805 red
Point 2.98988 1.13947 red
Point 2.98075 1.22321 red
Point 2.97324 1.30919 red
Point 2.968 1.39739 red
Point 2.96579 1.4878 red
Point 2.96743 1.58041 red
Point 2.97387 1.67517 red
Point 2.98618 1.7719 red
Point 3.00555 1.87025 red
Point 3.03319 1.96956 red
Point 3.07022 2.06878 red
Point 3.11707 2.16561 red
Point 3.17215 2.25626 red
Point 3.23459 2.34038 red
Point 3.30377 2.41785 red
Point 3.3792 2.4885 red
Point 3.4605 2.55203 red
Point 3.54735 2.60806 red
Point 3.63943 2.65603 red
Point 3.7364 2.69529 red
Point 3.83778 2.725 red
Point 3.94294 2.74428 red
Point 4.05101 2.75215 red
Point 4.16083 2.74772 red
Point 4.27036 2.73041 red
Point 4.37495 2.70139 red
Point 4.47385 2.66268 red
Point 4.56742 2.61598 red
Point 4.65624 2.56258 red
Point 4.741 2.50347 red
Point 4.82232 2.43939 red
Point 4.90074 2.37092 red
Point 4.9767 2.29855 red
Point 5.05054 2.2227 red
Point 5.12253 2.14376 red
Point 5.19281 2.06218 red
Point 5.26059 1.97965 red
Point 5.32564 1.8977 red
Point 5.38781 1.81769 red
Point 5.4468 1.74108 red
Point 5.50212 1.66947 red
Point 5.55308 1.60456 red
Point 5.59868 1.54827 red
Point 5.63729 1.50273 red
Point 5.66614 1.47026 red
Point 5.68584 1.44886 red
Point 5.69911 1.43439 red
Point 5.70906 1.42372 red
Point 5.72008 1.41473 red
Point 5.73645 1.40694 red
Point 5.76089 1.40084 red
Point 5.79439 1.39664 red
Point 5.83329 1.39419 red
Point 5.87353 1.39496 red
Point 5.91538 1.401 red
Point 5.95914 1.41436 red
Point 6.00508 1.43708 red
Point 6.0535 1.47072 red
Point 6.10494 1.51021 red
Point 6.16006 1.54571 red
Point 6.21956 1.5673 red
Point 6.28082 1.5677 red
Point 6.3354 1.56655 red
Point 6.3512 1.51231 red
Point 6.38447 1.47221 red
Point 6.43317 1.44725 red
Point 6.48514 1.44367 red
Point 6.5384 1.46253 red
Point 6.60857 1.41318 red
Point 6.71002 1.34834 red
Point 6.82114 1.27868 red
Point 6.82114 1.10329 red
Point 6.71002 1.03363 red
Point 6.60857 0.968787 red
Point 6.5384 0.919434 red
Point 6.48514 0.938294 red
Point 6.43317 0.934713 red
Point 6.38447 0.909756 red
Point 6.3512 0.86966 red
Point 6.3354 0.815413 red
Point 4.09149 2.01165 red
Point 4.00052 2.74979 red
Point 4.03772 -0.17533 red
Point 3.85553 -0.45563 red
Point 2.97248 1.47342 red
Point 3.02923 0.864555 red
Point 1.82285 -0.12802 red
Point 1.52228 0.511648 red
Point 0.243561 -0.58367 red
Point 0.412056 -0.054 red
Point 6.25088 0.924733 red
Point 6.13138 0.939578 red
Point 6.03415 0.93506 red
Point 5.94316 0.993584 red
Point 5.91557 1.03411 red
Point 5.85994 1.03287 red
Point 5.80838 1.00121 red
Point 5.75721 1.03415 red
Point 5.72455 1.02901 red
Point 5.70197 1.03649 red
Point 5.67065 1.011 red
Point 5.61518 1.01357 red
Point 5.48605 1.08157 red
Point 5.41618 1.09308 red
Point 5.38233 1.14991 red
Point 5.27567 1.17798 red
Point 5.28287 1.2441 red
Point 5.18644 1.33172 red
Point 5.0842 1.37346 red
Point 5.08445 1.45855 red
Point 4.99977 1.43329 red
Point 4.89241 1.59277 red
Point 4.80296 1.66994 red
Point 4.77011 1.76834 red
Point 4.67555 1.85171 red
Point 4.61607 1.85061 red
Point 4.46461 1.98404 red
Point 4.43207 1.98524 red
Point 4.38098 2.01809 red
Point 4.31358 2.01448 red
Point 4.25597 2.01936 red
Point 4.20888 2.06166 red
Point 4.1763 2.06059 red
